-1.159329989999999952e+02,-1.164270020000000017e+02,-4.895551300000000339e+01
-1.167040020000000027e+02,-1.262480010000000021e+02,-4.164941000000000315e+01
-1.065169980000000010e+02,-1.216969990000000053e+02,-4.367421000000000220e+01
-1.048199999999999932e+02,-1.100889970000000062e+02,-5.265021099999999876e+01
-1.144030000000000058e+02,-1.083259960000000035e+02,-5.351781100000000180e+01
-1.049089969999999994e+02,-1.018629990000000021e+02,-5.278061300000000244e+01
-1.170490039999999965e+02,-1.022109990000000010e+02,-4.984351000000000198e+01
-9.645130199999999832e+01,-1.215000000000000000e+02,-4.278940999999999661e+01
-9.917960399999999765e+01,-1.306849980000000073e+02,-3.666651199999999733e+01
-1.086640009999999990e+02,-1.314400019999999927e+02,-3.752132399999999990e+01
-1.169879990000000021e+02,-1.369349980000000073e+02,-3.507812100000000299e+01
-1.008720019999999948e+02,-1.049270020000000017e+02,-5.613121000000000294e+01
-9.286939999999999884e+01,-1.130049970000000030e+02,-4.872220999999999691e+01
-1.136989970000000056e+02,-9.110710100000000011e+01,-6.139491300000000251e+01
-1.019489970000000056e+02,-9.593189999999999884e+01,-6.173311199999999843e+01
-8.559580200000000616e+01,-1.215029980000000052e+02,-4.200041199999999719e+01
-8.846630100000000141e+01,-1.302480009999999879e+02,-3.645031000000000176e+01
-9.377189599999999814e+01,-1.392960050000000081e+02,-3.156781799999999905e+01
-1.057269969999999972e+02,-1.407740019999999959e+02,-3.154231599999999958e+01
-1.171670000000000016e+02,-1.476710050000000081e+02,-3.097061700000000073e+01
-9.267330200000000673e+01,-1.000350040000000007e+02,-6.095831299999999686e+01
-8.595529899999999657e+01,-1.066119999999999948e+02,-5.539651099999999673e+01
-7.926529700000000389e+01,-1.148280029999999954e+02,-4.871251300000000128e+01
-1.032369999999999948e+02,-8.936869799999999486e+01,-7.282722499999999854e+01
-1.155009989999999931e+02,-9.046479800000000182e+01,-7.177022599999999386e+01
-9.360469799999999907e+01,-9.136620299999999872e+01,-6.826172599999999591e+01
-7.391410100000000227e+01,-1.218840030000000070e+02,-4.351101299999999839e+01
-7.647419700000000375e+01,-1.285840000000000032e+02,-3.658891299999999802e+01
-8.098680099999999982e+01,-1.374279940000000124e+02,-3.182501800000000003e+01
-8.532309700000000419e+01,-1.460180049999999881e+02,-2.780221699999999885e+01
-9.742929800000000284e+01,-1.492680049999999881e+02,-2.753771800000000169e+01
-1.074980010000000021e+02,-1.509600069999999903e+02,-2.793861800000000173e+01
-1.172090000000000032e+02,-1.582169949999999972e+02,-2.961002300000000176e+01
-8.396649899999999889e+01,-9.354859899999999584e+01,-6.712942499999999768e+01
